audio_path,relative_path,text,authenticity,duration,speaker_id,gender,accent,scenario,is_verified,notes
audio\real_new\real_samples\02e799c177261c089d2fd5863a90ded1.wav,real_new\real_samples\02e799c177261c089d2fd5863a90ded1.wav,Салют Случайный,real,1.81,real_new,,,,0,
audio\real_new\real_samples\02e9b06d250ab12c20516d74eef1cb60.wav,real_new\real_samples\02e9b06d250ab12c20516d74eef1cb60.wav,Joy Как зовут твоего папу,real,2.74,real_new,,,,0,
audio\real_new\real_samples\02ea3319f900fbd81a2941b3fb8dcfe0.wav,real_new\real_samples\02ea3319f900fbd81a2941b3fb8dcfe0.wav,Афина в каких источниках описывается мелодия,real,3.65,real_new,,,,0,
audio\real_new\real_samples\02eb800f48f9411149577f2627db6e03.wav,real_new\real_samples\02eb800f48f9411149577f2627db6e03.wav,найти новое на ТНТ,real,2.8,real_new,,,,0,
audio\real_new\real_samples\02ef1cbe2d153429d6130f94b134ba50.wav,real_new\real_samples\02ef1cbe2d153429d6130f94b134ba50.wav,Расскажи мне пожалуйста все предложения о сотрудничестве в отеле,real,5.18,real_new,,,,0,
audio\real_new\real_samples\02f7820ee0341e157b2a5eb71232aa18.wav,real_new\real_samples\02f7820ee0341e157b2a5eb71232aa18.wav,саю,real,2.65,real_new,,,,0,
audio\real_new\real_samples\02fe35b3b8299fe3df088dad1cc810a9.wav,real_new\real_samples\02fe35b3b8299fe3df088dad1cc810a9.wav,Возвращение в Таинственный сад,real,3.99,real_new,,,,0,
audio\real_new\real_samples\031b6a9a8e15c5453922504d9ecf8022.wav,real_new\real_samples\031b6a9a8e15c5453922504d9ecf8022.wav,найти ООО ТВ,real,2.88,real_new,,,,0,
audio\real_new\real_samples\031c0479832744269934c85a65c35216.wav,real_new\real_samples\031c0479832744269934c85a65c35216.wav,Joy Найди Кристина,real,4.83,real_new,,,,0,
audio\real_new\real_samples\031e746618b4489b6557fbb02a0cbc4f.wav,real_new\real_samples\031e746618b4489b6557fbb02a0cbc4f.wav,Гарри Поттер и узник Азкабана Ты можешь показать,real,5.44,real_new,,,,0,
audio\real_new\real_samples\031ec58abbff04759aa87a194e59d6c2.wav,real_new\real_samples\031ec58abbff04759aa87a194e59d6c2.wav,кино Война против всех ищи,real,4.8,real_new,,,,0,
audio\real_new\real_samples\033fed4ed8b55f49939b97513876b84d.wav,real_new\real_samples\033fed4ed8b55f49939b97513876b84d.wav,Включи джинсовые мальчики самый-самый,real,4.16,real_new,,,,0,
audio\real_new\real_samples\034f6a7ea6b758c626f2c821bc7f6cf3.wav,real_new\real_samples\034f6a7ea6b758c626f2c821bc7f6cf3.wav,Афина Дай номер банка,real,4.73,real_new,,,,0,
audio\real_new\real_samples\035432ffab811c089fe7ebaa8e7863bf.wav,real_new\real_samples\035432ffab811c089fe7ebaa8e7863bf.wav,случай,real,1.35,real_new,,,,0,
audio\real_new\real_samples\035c9a8fdeceefe8f8e1bd541f262432.wav,real_new\real_samples\035c9a8fdeceefe8f8e1bd541f262432.wav,Набери сериал Купидон,real,2.52,real_new,,,,0,
audio\real_new\real_samples\035dc3ff7ff41adab0748e99abb86baf.wav,real_new\real_samples\035dc3ff7ff41adab0748e99abb86baf.wav,Салют Набери любовь Петров,real,2.4,real_new,,,,0,
audio\real_new\real_samples\036d78d29bda729faf74758635566472.wav,real_new\real_samples\036d78d29bda729faf74758635566472.wav,облака,real,1.73,real_new,,,,0,
audio\real_new\real_samples\03760839cb693f76f5e401a8161b8fa6.wav,real_new\real_samples\03760839cb693f76f5e401a8161b8fa6.wav,Сбер перевести на МТС расчётного счёта 500 руб,real,6.72,real_new,,,,0,
audio\real_new\real_samples\0378b39861df1668ae94591f1c0f6658.wav,real_new\real_samples\0378b39861df1668ae94591f1c0f6658.wav,Тима Тома,real,1.96,real_new,,,,0,
audio\real_new\real_samples\037d33f995b5cdd9e4e565053d6ac5ca.wav,real_new\real_samples\037d33f995b5cdd9e4e565053d6ac5ca.wav,У тебя есть Час расплаты,real,5.44,real_new,,,,0,
audio\real_new\real_samples\03859111983e711e094ef8219a027528.wav,real_new\real_samples\03859111983e711e094ef8219a027528.wav,что интересно А есть то что я не знаю,real,2.02,real_new,,,,0,
audio\real_new\real_samples\038dcba7db96511b794bd11c37d5debf.wav,real_new\real_samples\038dcba7db96511b794bd11c37d5debf.wav,фильмы новинки,real,4.58,real_new,,,,0,
audio\real_new\real_samples\039c1fb3df26e283f21585fcf38855bd.wav,real_new\real_samples\039c1fb3df26e283f21585fcf38855bd.wav,Людмила Сергеевна крутилина,real,3.53,real_new,,,,0,
audio\real_new\real_samples\03a3d32b4af92df2caf712a5430b3a88.wav,real_new\real_samples\03a3d32b4af92df2caf712a5430b3a88.wav,Включи телеканал восьмой на ТВ,real,3.36,real_new,,,,0,
audio\real_new\real_samples\03a838525f154a3e5c162164f1b08a3c.wav,real_new\real_samples\03a838525f154a3e5c162164f1b08a3c.wav,можешь включить КХЛ на смотрю,real,1.88,real_new,,,,0,
audio\real_new\real_samples\03acba6ea63e0951ec1410ce5f86c119.wav,real_new\real_samples\03acba6ea63e0951ec1410ce5f86c119.wav,Открой Мир Юрского периода Роба коэна,real,5.26,real_new,,,,0,
audio\real_new\real_samples\03b35564918704ae98537892c9e18993.wav,real_new\real_samples\03b35564918704ae98537892c9e18993.wav,включай каналы Восьмой канал,real,4.01,real_new,,,,0,
audio\real_new\real_samples\03b92263995462b2e09655a8e29d4d0b.wav,real_new\real_samples\03b92263995462b2e09655a8e29d4d0b.wav,стол из эпоксидной смолы,real,3.6,real_new,,,,0,
audio\real_new\real_samples\03c609b91efa8a031b0436c501000991.wav,real_new\real_samples\03c609b91efa8a031b0436c501000991.wav,большие неприятности 4K,real,4.02,real_new,,,,0,
audio\real_new\real_samples\03d7a243afb11166401c3ab45c832015.wav,real_new\real_samples\03d7a243afb11166401c3ab45c832015.wav,ассистент Купи мне лука для приготовления су,real,5.02,real_new,,,,0,
audio\real_new\real_samples\03db48c6684869d0fa006c99b131d9ef.wav,real_new\real_samples\03db48c6684869d0fa006c99b131d9ef.wav,Джон Включи диктатуру зако,real,2.41,real_new,,,,0,
audio\real_new\real_samples\03e9ce09f331adc6b9a418864058f75e.wav,real_new\real_samples\03e9ce09f331adc6b9a418864058f75e.wav,сестрорецка,real,2.34,real_new,,,,0,
audio\real_new\real_samples\03ea93187e36573abac9e6f3ddd98a3d.wav,real_new\real_samples\03ea93187e36573abac9e6f3ddd98a3d.wav,Почему справился так много,real,2.23,real_new,,,,0,
audio\real_new\real_samples\03ec8959efd6049dcc3ce8c3fb24f65b.wav,real_new\real_samples\03ec8959efd6049dcc3ce8c3fb24f65b.wav,салют как называли младших императоров,real,2.88,real_new,,,,0,
audio\real_new\real_samples\03ef6773efdd4bbacd51e13b0d06c8f3.wav,real_new\real_samples\03ef6773efdd4bbacd51e13b0d06c8f3.wav,Joy Какая погода на эти выходные,real,2.87,real_new,,,,0,
audio\real_new\real_samples\03f0be26077378f077a42f1afe00db7a.wav,real_new\real_samples\03f0be26077378f077a42f1afe00db7a.wav,Американская история ужасов сезон 15,real,3.32,real_new,,,,0,
audio\real_new\real_samples\03f52381d8c64a12d1733e13022007d5.wav,real_new\real_samples\03f52381d8c64a12d1733e13022007d5.wav,Сбер Какая самая удобная поза для работы в офисе Как расположить ноги Удобнее всего,real,10.28,real_new,,,,0,
audio\real_new\real_samples\03f6b867754380c223e99268a44d45bb.wav,real_new\real_samples\03f6b867754380c223e99268a44d45bb.wav,возраст пациента 56 лет,real,2.74,real_new,,,,0,
audio\real_new\real_samples\03f82988ce5c98b7e7f24683d6c08d22.wav,real_new\real_samples\03f82988ce5c98b7e7f24683d6c08d22.wav,Европейский берег маршрут,real,3.32,real_new,,,,0,
audio\real_new\real_samples\03fdb975be8317ea26cbc86f32b2c5eb.wav,real_new\real_samples\03fdb975be8317ea26cbc86f32b2c5eb.wav,Сбер оплатить телефонные связи другого человека,real,4.12,real_new,,,,0,
audio\real_new\real_samples\0407f9c1ac0a775ab14231f8918aba2c.wav,real_new\real_samples\0407f9c1ac0a775ab14231f8918aba2c.wav,Joy перезвони ми,real,1.67,real_new,,,,0,
audio\real_new\real_samples\0416887d96dab4cf20a1fea4e8265edd.wav,real_new\real_samples\0416887d96dab4cf20a1fea4e8265edd.wav,Набери Галину альбертовну елисее,real,3.77,real_new,,,,0,
audio\real_new\real_samples\041bdc9ac370241a5952a9efed85c456.wav,real_new\real_samples\041bdc9ac370241a5952a9efed85c456.wav,Рафис Владимирович,real,2.62,real_new,,,,0,
audio\real_new\real_samples\0428c915afa038db191e9780cf6dc4e4.wav,real_new\real_samples\0428c915afa038db191e9780cf6dc4e4.wav,Осина какие инструменты могут быть использованы при построении,real,3.36,real_new,,,,0,
audio\real_new\real_samples\043a2f7fdca3dc11a5d067360a5fe9ce.wav,real_new\real_samples\043a2f7fdca3dc11a5d067360a5fe9ce.wav,Найди мне все серии сериала Друзья,real,4.41,real_new,,,,0,
audio\real_new\real_samples\044a6d56477b7814806c51d7dd697e42.wav,real_new\real_samples\044a6d56477b7814806c51d7dd697e42.wav,Салют Посмотри на меня,real,4.56,real_new,,,,0,
audio\real_new\real_samples\044c8818aeb7a2482f747b73efaba4b1.wav,real_new\real_samples\044c8818aeb7a2482f747b73efaba4b1.wav,24 серия 12 сезона Как я встретил вашу маму,real,4.67,real_new,,,,0,
audio\real_new\real_samples\044e908116b2fb99de501f8cde17f964.wav,real_new\real_samples\044e908116b2fb99de501f8cde17f964.wav,у тебя в каталоге есть Ёжик и Медвежонок,real,3.9,real_new,,,,0,
audio\real_new\real_samples\0455ade6a3f3c4bb7f4e9855c1159048.wav,real_new\real_samples\0455ade6a3f3c4bb7f4e9855c1159048.wav,Joy Закрой приложение,real,2.41,real_new,,,,0,
audio\real_new\real_samples\045cf0bdbc27b723542d011cf47b8e9f.wav,real_new\real_samples\045cf0bdbc27b723542d011cf47b8e9f.wav,кости Адама маккея,real,4.62,real_new,,,,0,
audio\real_new\real_samples\046a068b2ac58c770f61bbdd61f47fe3.wav,real_new\real_samples\046a068b2ac58c770f61bbdd61f47fe3.wav,Версаль на карте,real,4.4,real_new,,,,0,
audio\real_new\real_samples\046c3ef6b59f5ce7cc3df460a253fadb.wav,real_new\real_samples\046c3ef6b59f5ce7cc3df460a253fadb.wav,пополнить баланс коллеги МТС,real,5.55,real_new,,,,0,
audio\real_new\real_samples\047f7fd2345fbe39c203eb459f6e40ba.wav,real_new\real_samples\047f7fd2345fbe39c203eb459f6e40ba.wav,Кто такая принцесса диа,real,2.37,real_new,,,,0,
audio\real_new\real_samples\048a9657e118e7d5e14130605916a284.wav,real_new\real_samples\048a9657e118e7d5e14130605916a284.wav,9 794 515,real,6.5,real_new,,,,0,
audio\real_new\real_samples\048f52d07b799714dd61d60588c9c891.wav,real_new\real_samples\048f52d07b799714dd61d60588c9c891.wav,Салют Какие из варенья в кипятке Ты знаешь,real,4.86,real_new,,,,0,
